endereco_geo,lat,lon
"Rua Maestro Cardim, Liberdade, São Paulo, SP, Brasil",,
"Rua Maria Carolina, Jardim Paulistano, São Paulo, SP, Brasil",,
"Rua Padre Lebret, Jardim Leonor, São Paulo, SP, Brasil",,
"Rua Dona Antônia de Queirós, Consolação, São Paulo, SP, Brasil",-23.5529893,-46.6521182
"Rua Fernando de Albuquerque, Consolação, São Paulo, SP, Brasil",-23.5538321,-46.6579106
"Rua Adolfo Tabacow, Itaim Bibi, São Paulo, SP, Brasil",-23.5841146,-46.6845401
"Rua Escobar Ortiz, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Aracuípe, Jardim Prudência, São Paulo, SP, Brasil",,
"Rua Gararu, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua dos Três Irmãos, Vila Progredior, São Paulo, SP, Brasil",,
"Rua Imbituba, Vila Prudente, São Paulo, SP, Brasil",-23.583139,-46.5822586
"Rua Doutor Homem de Melo, Perdizes, São Paulo, SP, Brasil",-23.5308007,-46.6777516
"Rua Diamante Preto, Chácara Califórnia, São Paulo, SP, Brasil",,
"Rua Fidêncio Ramos, Vila Olímpia, São Paulo, SP, Brasil",-23.5948472,-46.6858799
"Rua Joaquim Távora, Vila Mariana, São Paulo, SP, Brasil",-23.5874358,-46.6447172
"Rua do Rocio, Vila Olímpia, São Paulo, SP, Brasil",-23.5940826,-46.6862333
"Avenida Marginal do Rio Pinheiros, Jardim Fonte do Morumbi, São Paulo, SP, Brasil",,
"Avenida Angélica, Santa Cecília, São Paulo, SP, Brasil",-23.5362771,-46.6541298
"Rua da Consolação, Consolação, São Paulo, SP, Brasil",-23.547945,-46.64881
"Avenida Açocê, Indianópolis, São Paulo, SP, Brasil",-23.6050741,-46.6544982
"Avenida Rio Branco, Campos Elíseos, São Paulo, SP, Brasil",,
"Rua Bandeira Paulista, Itaim Bibi, São Paulo, SP, Brasil",-23.5815268,-46.6766371
"Rua Francisco Valente, Jardim Ester Yolanda, São Paulo, SP, Brasil",,
"Rua Oliveira Dias, Jardim Paulista, São Paulo, SP, Brasil",-23.5816749,-46.6697821
"Avenida Jacutinga, Indianópolis, São Paulo, SP, Brasil",-23.6021587,-46.6667776
"Rua Augusta, Consolação, São Paulo, SP, Brasil",-23.55374,-46.6555473
"Rua Jerônimo da Veiga, Jardim Europa, São Paulo, SP, Brasil",,
"Rua Itanhatim, Vila Andrade, São Paulo, SP, Brasil",-23.6327759,-46.7300998
"Alameda Tietê, Cerqueira César, São Paulo, SP, Brasil",-23.5608548,-46.6670758
"Rua Filipinas, Alto da Lapa, São Paulo, SP, Brasil",,
"Rua Sérgio Milliet, Jardim Marajoara, São Paulo, SP, Brasil",-23.6551561,-46.6815741
"Rua Maria Antônia Ladalardo, Jardim Fonte do Morumbi, São Paulo, SP, Brasil",,
"Avenida Rudge, Bom Retiro, São Paulo, SP, Brasil",-23.5237732,-46.6500654
"Rua Botelho, Vila Guarani (Z Sul), São Paulo, SP, Brasil",,
"Rua Caçapava, Jardim Paulista, São Paulo, SP, Brasil",-23.5687718,-46.6617631
"Rua Rosa Gaeta Lazara, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua dos Tamanás, Vila Madalena, São Paulo, SP, Brasil",-23.5586044,-46.6953866
"Rua Pedro Bellegarde, Chácara Califórnia, São Paulo, SP, Brasil",,
"Rua Casa do Ator, Vila Olímpia, São Paulo, SP, Brasil",-23.5964106,-46.6842829
"Rua Joá, Alto da Mooca, São Paulo, SP, Brasil",,
"Rua Joaquim José Esteves, Santo Amaro, São Paulo, SP, Brasil",-23.6493558,-46.6939876
"Rua Antilhas, Jardim América, São Paulo, SP, Brasil",-23.5667738,-46.6710595
"Rua Francisco Pessoa, Vila Andrade, São Paulo, SP, Brasil",-23.6282824,-46.7396458
"Avenida Doutor Mário Vilas Boas Rodrigues, Jardim Dom Bosco, São Paulo, SP, Brasil",,
"Rua Hans Oersted, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Marquês Olinda, Vila Dom Pedro I, São Paulo, SP, Brasil",-23.6000336,-46.6083161
"Rua Harmonia, Sumarezinho, São Paulo, SP, Brasil",-23.5474018,-46.6917482
"Rua Salto, Paraíso, São Paulo, SP, Brasil",,
"Rua Marina Saddi Haidar, Jardim Umuarama, São Paulo, SP, Brasil",,
"Rua Caraíbas, Perdizes, São Paulo, SP, Brasil",-23.5349253,-46.6842096
"Rua Nagel, Vila Leopoldina, São Paulo, SP, Brasil",-23.532702,-46.7316019
"Rua Brigadeiro Tobias, Centro, São Paulo, SP, Brasil",-23.5009365,-47.4556429
"Avenida Jabaquara, Mirandópolis, São Paulo, SP, Brasil",-23.6094086,-46.6379595
"Rua Coronel Lisboa, Vila Mariana, São Paulo, SP, Brasil",-23.5948462,-46.6396873
"Rua Doutor Neto de Araújo, Vila Mariana, São Paulo, SP, Brasil",-23.5872019,-46.6329263
"Rua Antônio de Andrade Rebelo, Retiro Morumbi, São Paulo, SP, Brasil",,
"Rua Padre José Griecco, Cidade Jardim, São Paulo, SP, Brasil",-23.595644,-46.6969025
