preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 8.500,R$ 4.000,R$ 1.294,Rua Monte Alegre,"Apartamento para alugar com 220 m², 3 quartos, 7 banheiros, 2 vagas emPerdizes, São Paulo",3.0,7,220.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-perdizes-sao-paulo-220m2-id-2812064119/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.550,R$ 1.250,R$ 200,Rua Vergueiro,"Flat para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emVila Mariana, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-mariana-sao-paulo-36m2-id-2781718114/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 2.100,R$ 1.600,R$ 300,Alameda Jaú,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-42m2-id-2842459622/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.300,R$ 1.600,R$ 100,Rua Pedroso Alvarenga,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-33m2-id-2853400898/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 6.500,R$ 950,,Rua Coronel Artur de Paula Ferreira,"Apartamento para alugar com 39 m², 1 quarto, 1 banheiro emVila Nova Conceição, São Paulo",1.0,1,39.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-varanda-vila-nova-conceicao-sao-paulo-39m2-id-2817462529/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 9.900,,R$ 1.364,Rua Patápio Silva,"Casa para alugar com 293 m², 3 quartos, 3 banheiros, 4 vagas emJardim das Bandeiras, São Paulo",3.0,3,293.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-edicula-jardim-das-bandeiras-sao-paulo-293m2-id-2778701218/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.400,R$ 1.600,R$ 500,Rua Alvorada,"Flat para alugar com 48 m², 2 quartos, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",2.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-olimpia-sao-paulo-48m2-id-2853836624/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 11.350,R$ 3.300,R$ 550,Rua das Fiandeiras,"Flat para alugar com 99 m², 1 quarto, 1 banheiro, 2 vagas emVila Olímpia, São Paulo",1.0,1,99.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-99m2-id-2853474235/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 16.000,R$ 1.500,R$ 550,Rua Helena,"Apartamento para alugar com 95 m², 2 quartos, 4 banheiros, 2 vagas emVila Olímpia, São Paulo",2.0,4,95.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-vila-olimpia-sao-paulo-95m2-id-2855567840/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 10.000,R$ 2.964,R$ 807,Rua Sampaio Viana,"Flat para alugar com 60 m², 2 quartos, 2 banheiros, 2 vagas emParaíso, São Paulo",2.0,2,60.0,https://www.zapimoveis.com.br/imovel/venda-flat-2-quartos-com-piscina-paraiso-sao-paulo-60m2-id-2809608960/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 18.000,R$ 2.500,R$ 1.200,Rua Ásia,"Apartamento para alugar com 135 m², 2 quartos, 3 banheiros, 2 vagas emCerqueira César, São Paulo",2.0,3,135.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-varanda-cerqueira-cesar-sao-paulo-135m2-id-2847006122/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 1.550,R$ 450,,,"Apartamento para alugar com 35 m², 2 quartos, 1 banheiro emItaquera, São Paulo",2.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-itaquera-zona-leste-sao-paulo-sp-35m2-id-2872271553/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
R$ 3.300,,,Rua João Fugulin,"Sobrado para alugar com 90 m², 2 quartos, 2 banheiros, 1 vaga emJardim Germânia, São Paulo",2.0,2,90.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-2-quartos-com-cozinha-jardim-germania-zona-sul-sao-paulo-sp-90m2-id-2868167431/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
R$ 15.000,R$ 1.450,R$ 1.370,Alameda Joaquim Eugênio de Lima,"Apartamento para alugar com 150 m², 3 quartos, 2 banheiros, 3 vagas emJardim Paulista, São Paulo",3.0,2,150.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jardim-paulista-zona-sul-sao-paulo-sp-150m2-id-2873136108/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
R$ 12.290,R$ 1.260,R$ 650,Rua Leopoldo Couto Magalhães Júnior,"Flat para alugar com 47 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,47.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-47m2-id-2857901964/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
R$ 5.800,R$ 1.000,R$ 200,Rua Doutor João Clímaco Pereira,"Flat para alugar com 52 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,52.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-52m2-id-2853404580/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
R$ 3.190,R$ 810,R$ 100,Avenida Brigadeiro Luís Antônio,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-42m2-id-2853404167/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:04:02
