preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 2.700,R$ 1.000,R$ 100,Avenida Bosque da Saúde,"Flat para alugar com 41 m², 1 quarto, 1 banheiro, 1 vaga emSaúde, São Paulo",1.0,1,41.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-saude-sao-paulo-41m2-id-2853398559/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 3.080,R$ 1.250,R$ 170,Avenida Rouxinol,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-com-piscina-indianopolis-sao-paulo-40m2-id-2853400445/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 4.610,R$ 1.440,R$ 250,Rua Guarará,"Flat para alugar com 55 m², 2 quartos, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",2.0,1,55.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-jardim-paulista-sao-paulo-55m2-id-2853403034/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 4.400,R$ 2.150,R$ 450,Rua Tuim,"Flat para alugar com 70 m², 2 quartos, 2 banheiros, 2 vagas emVila Uberabinha, São Paulo",2.0,2,70.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-uberabinha-sao-paulo-70m2-id-2853397705/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 4.200,R$ 1.550,R$ 450,Avenida Miruna,"Flat para alugar com 60 m², 2 quartos, 2 banheiros, 1 vaga emIndianópolis, São Paulo",2.0,2,60.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-indianopolis-sao-paulo-60m2-id-2853405529/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 25.000,,R$ 4.072,Rua General Mena Barreto,"Casa para alugar com 800 m², 4 quartos, 5 banheiros, 8 vagas emJardim Paulista, São Paulo",4.0,5,800.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-jardim-paulista-sao-paulo-800m2-id-2772363420/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 11.000,R$ 4.340,R$ 2.920,Rua Alcacer-Kehir,"Apartamento para alugar com 386 m², 4 quartos, 4 banheiros, 4 vagas emVila Santo Estevão, São Paulo",4.0,4,386.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-vila-santo-estevao-sao-paulo-386m2-id-2854290422/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 3.200,R$ 300,R$ 100,Avenida Moema,"Flat para alugar com 32 m², 1 quarto, 1 banheiro, 1 vaga emMoema, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-32m2-id-2853399248/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 3.300,,,Avenida Alberto Augusto Alves,"Apartamento para alugar com 25 m², 1 quarto, 1 banheiro emVila Andrade, São Paulo",1.0,1,25.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-andrade-sao-paulo-25m2-id-2873908681/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 2.300,R$ 410,R$ 230,Rua Alfredo Pujol,"Apartamento para alugar com 27 m², 1 quarto, 1 banheiro, 1 vaga emSantana, São Paulo",1.0,1,27.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-santana-sao-paulo-27m2-id-2863916285/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 3.200,R$ 1.457,R$ 451,Rua Santa Justina,"Apartamento para alugar com 25 m², 1 quarto, 1 banheiro emVila Olímpia, São Paulo",1.0,1,25.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-vila-olimpia-sao-paulo-25m2-id-2804059517/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 3.850,R$ 1.182,R$ 2.016,Alameda Joaquim Eugênio de Lima,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-50m2-id-2825167342/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:18:57
R$ 11.800,R$ 2.300,R$ 1.100,Rua Forte William,"Apartamento para alugar com 213 m², 3 quartos, 5 banheiros, 4 vagas emJardim Fonte do Morumbi, São Paulo",3.0,5,213.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-panamby-zona-sul-sao-paulo-sp-213m2-id-2785009015/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 2.000,R$ 1.423,R$ 176,Rua das Hortênsias,"Apartamento para alugar com 40 m², 1 quarto, 2 banheiros, 1 vaga emMirandópolis, São Paulo",1.0,2,40.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-academia-mirandopolis-zona-sul-sao-paulo-sp-40m2-id-2846509623/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 7.000,R$ 1.300,R$ 230,Rua Mourato Coelho,"Apartamento para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emPinheiros, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-36m2-id-2868150768/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 20.000,R$ 1.600,R$ 760,Rua Casa do Ator,"Apartamento para alugar com 95 m², 2 quartos, 3 banheiros, 2 vagas emVila Olímpia, São Paulo",2.0,3,95.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-olimpia-sao-paulo-95m2-id-2771375164/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 8.500,R$ 1.800,R$ 190,Rua Cincinato Braga,"Apartamento para alugar com 38 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-bela-vista-sao-paulo-38m2-id-2811507011/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 18.900,,R$ 2.264,Rua São Benedito,"Casa para alugar com 370 m², 4 quartos, 6 banheiros, 4 vagas emSanto Amaro, São Paulo",4.0,6,370.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-santo-amaro-sao-paulo-370m2-id-2872793248/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 5.194,R$ 1.210,R$ 396,Rua Alvorada,"Apartamento para alugar com 60 m², 2 quartos, 2 banheiros, 1 vaga emVila Olímpia, São Paulo",2.0,2,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-olimpia-sao-paulo-60m2-id-2669478730/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 4.500,R$ 2.716,R$ 423,Rua Balthazar da Veiga,"Apartamento para alugar com 61 m², 2 quartos, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",2.0,1,61.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-nova-conceicao-sao-paulo-61m2-id-2845115956/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 34.000,,R$ 1,Rua das Barcas,"Sobrado para alugar com 337 m², 4 quartos, 4 banheiros, 4 vagas emJardim dos Estados, São Paulo",4.0,4,337.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-jardim-dos-estados-sao-paulo-337m2-id-2787006232/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:20
R$ 2.000,R$ 670,,Rua Professor Celso Quirino dos Santos,"Apartamento para alugar com 55 m², 2 quartos, 1 banheiro, 1 vaga emCidade São Francisco, São Paulo",2.0,1,55.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-playground-vila-sao-francisco-zona-oeste-zona-oeste-sao-paulo-sp-55m2-id-2864138084/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 4.000,R$ 754,R$ 214,Rua Antônio das Chagas,"Apartamento para alugar com 60 m², 2 quartos, 1 banheiro, 1 vaga emChácara Santo Antônio (Zona Sul), São Paulo",2.0,1,60.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-chacara-santo-antonio-zona-sul-zona-sul-sao-paulo-sp-60m2-id-2865209176/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 2.800,R$ 1.000,R$ 200,Avenida Rouxinol,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-50m2-id-2853471891/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 2.900,R$ 1.700,R$ 300,Rua Gomes de Carvalho,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-30m2-id-2745003328/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 2.400,R$ 1.800,R$ 200,Avenida Bosque da Saúde,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emSaúde, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-saude-sao-paulo-35m2-id-2843186182/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 3.500,R$ 700,R$ 300,Avenida Brigadeiro Luís Antônio,"Apartamento para alugar com 40 m², 1 quarto, 1 banheiro emJardim Paulista, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jardim-paulista-sao-paulo-40m2-id-2788305422/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 3.400,R$ 2.250,R$ 350,Rua Professor Atílio Innocenti,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-40m2-id-2868424966/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 8.200,R$ 1.250,R$ 361,Rua Pais Leme,"Apartamento para alugar com 68 m², 2 quartos, 1 banheiro, 1 vaga emPinheiros, São Paulo",2.0,1,68.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-pinheiros-sao-paulo-68m2-id-2836204433/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 20.000,R$ 3.840,R$ 1.604,Rua Bergamota,"Cobertura para alugar com 170 m², 2 quartos, 3 banheiros, 3 vagas emAlto da Lapa, São Paulo",2.0,3,170.0,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-2-quartos-com-piscina-alto-da-lapa-sao-paulo-170m2-id-2869901080/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 11.000,R$ 3.883,R$ 2.040,Rua Corrientes,"Cobertura para alugar com 416 m², 3 quartos, 5 banheiros, 3 vagas emLapa, São Paulo",3.0,5,416.0,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-3-quartos-com-academia-lapa-sao-paulo-416m2-id-2867770087/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 3.610,R$ 910,R$ 280,Avenida Ibijaú,"Flat para alugar com 42 m², 1 quarto, 2 banheiros, 1 vaga emMoema, São Paulo",1.0,2,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-42m2-id-2853402136/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 4.220,R$ 1.600,R$ 180,Rua Jesuíno Arruda,"Flat para alugar com 70 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,70.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-70m2-id-2853403883/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 11.500,R$ 1.600,R$ 400,Alameda Campinas,"Flat para alugar com 109 m², 2 quartos, 1 banheiro, 2 vagas emJardim Paulista, São Paulo",2.0,1,109.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-jardim-paulista-sao-paulo-109m2-id-2853397396/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 5.100,R$ 1.600,R$ 300,Alameda Jaú,"Apartamento para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jardim-paulista-sao-paulo-45m2-id-2853402941/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 10.180,R$ 1.840,R$ 480,Rua Leopoldo Couto Magalhães Júnior,"Flat para alugar com 62 m², 1 quarto, 2 banheiros, 1 vaga emItaim Bibi, São Paulo",1.0,2,62.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-62m2-id-2866194795/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 3.020,R$ 1.800,R$ 180,Rua Pedroso Alvarenga,"Flat para alugar com 29 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,29.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-29m2-id-2846478234/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 2.800,R$ 1.800,R$ 200,Rua Conselheiro Brotero,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emSanta Cecília, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-santa-cecilia-sao-paulo-30m2-id-2873816483/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 3.530,R$ 1.105,R$ 285,Rua Cristiano Viana,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emCerqueira César, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-cerqueira-cesar-sao-paulo-42m2-id-2853837895/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 4.300,R$ 1.400,R$ 600,Alameda Joaquim Eugênio de Lima,"Flat para alugar com 65 m², 2 quartos, 1 banheiro, 2 vagas emJardim Paulista, São Paulo",2.0,1,65.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-jardim-paulista-sao-paulo-65m2-id-2853840960/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 17.000,R$ 2.700,R$ 800,,"Apartamento para alugar com 107 m², 1 quarto, 1 banheiro, 2 vagas emVila Nova Conceição, São Paulo",1.0,1,107.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-107m2-id-2823503716/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 18.500,,R$ 1.009,Rua José Oscar Abreu Sampaio,"Casa para alugar com 440 m², 8 quartos, 5 banheiros, 4 vagas emJardim Anália Franco, São Paulo",8.0,5,440.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-8-quartos-com-churrasqueira-jardim-analia-franco-sao-paulo-440m2-id-2862116956/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 45.000,,R$ 5.760,Rua Itavera,"Casa para alugar com 680 m², 6 quartos, 7 banheiros, 11 vagas emJardim Guedala, São Paulo",6.0,7,680.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-com-piscina-jardim-guedala-sao-paulo-680m2-id-2771249948/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 9.000,R$ 1.900,R$ 600,Rua da Consolação,"Apartamento para alugar com 90 m², 2 quartos, 2 banheiros, 2 vagas emCerqueira César, São Paulo",2.0,2,90.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-cerqueira-cesar-sao-paulo-90m2-id-2824579713/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:19:47
R$ 6.650,R$ 1.600,R$ 500,Rua Doutor Paschoal Imperatriz,"Apartamento para alugar com 72 m², 2 quartos, 1 banheiro, 1 vaga emVila Gertrudes, São Paulo",2.0,1,72.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-brooklin-zona-sul-sao-paulo-sp-72m2-id-2873471476/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 10.800,,,Avenida Eusébio Matoso,"Imóvel para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emPinheiros, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-studio-1-quarto-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-36m2-id-2871277497/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 1.199,R$ 165,R$ 8,Rua Madre de Deus,"Apartamento para alugar com 20 m², 1 quarto, 1 banheiro emMooca, São Paulo",1.0,1,20.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-lavabo-mooca-zona-leste-sao-paulo-sp-20m2-id-2744528042/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 6.400,R$ 1.500,R$ 300,Rua Gomes de Carvalho,"Apartamento para alugar com 60 m², 1 quarto, 2 banheiros, 1 vaga emVila Olímpia, São Paulo",1.0,2,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-vila-olimpia-sao-paulo-60m2-id-2857581060/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 2.242,R$ 1.485,R$ 373,Avenida Ibirapuera,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-30m2-id-2870046979/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 3.500,R$ 1.200,R$ 300,Avenida Ibirapuera,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-33m2-id-2868855584/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 4.000,R$ 500,R$ 270,Avenida Ibirapuera,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-30m2-id-2869630415/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 2.400,R$ 1.453,R$ 351,Rua Tuim,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emVila Uberabinha, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-uberabinha-sao-paulo-35m2-id-2656265374/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 3.360,R$ 1.850,R$ 290,Avenida Ibirapuera,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-30m2-id-2871184211/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 5.500,R$ 1.800,R$ 370,Rua Francisco Marcondes Vieira,"Apartamento para alugar com 118 m², 3 quartos, 4 banheiros, 2 vagas emLar São Paulo, São Paulo",3.0,4,118.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-lar-sao-paulo-sao-paulo-118m2-id-2869708491/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 12.000,R$ 3.756,R$ 1,Rua do Estilo Barroco,"Apartamento para alugar com 300 m², 3 quartos, 5 banheiros, 3 vagas emSanto Amaro, São Paulo",3.0,5,300.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-santo-amaro-sao-paulo-300m2-id-2810405118/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 15.000,,R$ 1.700,Rua Antônio Bento,"Casa para alugar com 220 m², 4 quartos, 6 banheiros, 3 vagas emJardim Paulista, São Paulo",4.0,6,220.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-jardim-paulista-sao-paulo-220m2-id-2868724307/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 17.000,,,Alameda Casa Branca,"Apartamento para alugar com 90 m², 2 quartos, 2 banheiros, 1 vaga emJardim Paulista, São Paulo",2.0,2,90.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-jardim-paulista-sao-paulo-90m2-id-2853275235/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 6.500,R$ 1.300,R$ 300,Alameda Fernão Cardim,"Apartamento para alugar com 49 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,49.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jardim-paulista-sao-paulo-49m2-id-2827182213/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 22.000,R$ 3.000,R$ 1.000,,"Casa para alugar com 350 m², 5 quartos, 6 banheiros, 2 vagas emSanto Amaro, São Paulo",5.0,6,350.0,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-mobiliado-santo-amaro-sao-paulo-350m2-id-2874368627/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 4.860,R$ 1.680,R$ 460,Rua Doutor Eduardo de Souza Aranha,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-50m2-id-2680037997/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 1.580,R$ 1.159,R$ 350,Rua Barata Ribeiro,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-35m2-id-2874641197/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 2.470,R$ 1.328,R$ 389,Rua Barata Ribeiro,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-35m2-id-2674297598/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 5.500,R$ 1.335,R$ 541,Rua Said Aiach,"Apartamento para alugar com 56 m², 1 quarto, 1 banheiro, 1 vaga emParaíso, São Paulo",1.0,1,56.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-paraiso-sao-paulo-56m2-id-2840267331/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 16.000,,,Rua Fernando de Noronha,"Cobertura para alugar com 600 m², 1 quarto, 7 banheiros, 4 vagas emChácara Inglesa, São Paulo",1.0,7,600.0,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-1-quarto-chacara-inglesa-sao-paulo-600m2-id-2834373436/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 23.000,R$ 2.800,R$ 1.923,Rua Said Aiach,"Apartamento para alugar com 172 m², 3 quartos, 5 banheiros, 3 vagas emParaíso, São Paulo",3.0,5,172.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-paraiso-sao-paulo-172m2-id-2817024838/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 26.000,,R$ 2.000,Rua Bragança,"Casa para alugar com 450 m², 4 quartos, 4 banheiros, 3 vagas emPacaembu, São Paulo",4.0,4,450.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-quintal-pacaembu-sao-paulo-450m2-id-2811508370/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 2.400,R$ 1.000,R$ 200,Rua Turiassu,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emPerdizes, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-perdizes-sao-paulo-30m2-id-2853398180/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 29.000,R$ 3.165,R$ 1.549,Rua Aimberê,"Apartamento para alugar com 251 m², 4 quartos, 6 banheiros, 5 vagas emPerdizes, São Paulo",4.0,6,251.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-mobiliado-perdizes-sao-paulo-251m2-id-2874321198/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 5.048,R$ 1.112,R$ 340,Rua Jean Peltier,"Flat para alugar com 63 m², 1 quarto, 1 banheiro, 1 vaga emCidade Monções, São Paulo",1.0,1,63.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-cidade-moncoes-sao-paulo-63m2-id-2869615322/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 23.500,R$ 2.500,R$ 2.000,Rua Sílvio Tramontano,"Casa de condomínio para alugar com 390 m², 4 quartos, 6 banheiros, 4 vagas emVila Tramontano, São Paulo",4.0,6,390.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-4-quartos-com-piscina-vila-tramontano-sao-paulo-390m2-id-2673642674/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:14
R$ 15.500,R$ 2.200,R$ 770,Rua Flórida,"Apartamento para alugar com 120 m², 3 quartos, 3 banheiros, 2 vagas emCidade Monções, São Paulo",3.0,3,120.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-brooklin-zona-sul-sao-paulo-sp-120m2-id-2857732758/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19
