endereco_geo,lat,lon
"Rua Barão de Capanema, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0846443,-50.1732393
"Rua Lopes Trovão, Estrela, Ponta Grossa, PR, Brasil",,
"Rua Califórnia, Olarias, Ponta Grossa, PR, Brasil",-25.1110921,-50.1379851
"Rua Chefe Inácio de Lara, Oficinas, Ponta Grossa, PR, Brasil",-25.1215018,-50.1585063
"Rua Casemiro de Abreu, Uvaranas, Ponta Grossa, PR, Brasil",-25.0839738,-50.1460913
"Rua Aviador Frare Batista, Olarias, Ponta Grossa, PR, Brasil",-25.1022739,-50.1543704
"Rua Doutor Luiz Conrado Mansani, Oficinas, Ponta Grossa, PR, Brasil",-25.1178945,-50.1605122
"Rua Conrado Schiffer, Estrela, Ponta Grossa, PR, Brasil",-25.1059262,-50.170761
"Rua Bento Ribeiro, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0720875,-50.1733163
"Rua Olavo Bilac, Uvaranas, Ponta Grossa, PR, Brasil",-25.1020869,-50.1462802
"Rua Rio de Janeiro, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0817305,-50.1809898
"Rua Tomio Kawamura, Estrela, Ponta Grossa, PR, Brasil",-25.110167,-50.1733313
"Rua Engenheiro Beltrão, Oficinas, Ponta Grossa, PR, Brasil",-25.1312249,-50.1407384
"Rua Pedro Álvares Cabral, Nova Rússia, Ponta Grossa, PR, Brasil",-25.080356,-50.1829616
"Rua Benjamin Constant, Centro, Ponta Grossa, PR, Brasil",-25.0940685,-50.1558709
"Rua Tibúrcio Pedro Ferreira, Centro, Ponta Grossa, PR, Brasil",-25.1009869,-50.1576786
"Rua João Hyczy, Uvaranas, Ponta Grossa, PR, Brasil",-25.094551,-50.1114197
"Rua Princesa Isabel, Orfãs, Ponta Grossa, PR, Brasil",-25.0850053,-50.1676224
"Rua Padre Renato Canta, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua Assis Brasil, Orfãs, Ponta Grossa, PR, Brasil",-25.0768575,-50.1602171
"Avenida Souza Naves, Chapada, Ponta Grossa, PR, Brasil",-25.0678186,-50.2118167
"Rua Vidal de Negreiros, Oficinas, Ponta Grossa, PR, Brasil",-25.1120547,-50.1616543
"Rua Ricardo Lustosa Ribas, Estrela, Ponta Grossa, PR, Brasil",-25.105029,-50.1635713
"Rua Antônio Vieira, Orfãs, Ponta Grossa, PR, Brasil",-25.0797099,-50.1612652
"Rua Cedro, Contorno, Ponta Grossa, PR, Brasil",-25.09902,-50.2028527
"Avenida Visconde de Taunay, Centro, Ponta Grossa, PR, Brasil",-25.0941573,-50.1645041
"Rua Prefeito Campos Mello, Boa Vista, Ponta Grossa, PR, Brasil",-25.0807208,-50.1859602
"Rua Francisco Ribas, Centro, Ponta Grossa, PR, Brasil",-25.0883017,-50.1631881
"Rua Agostinho Jorge Buss, Orfãs, Ponta Grossa, PR, Brasil",-25.0652448,-50.1631386
"Rua São José dos Pinhais, Oficinas, Ponta Grossa, PR, Brasil",-25.128554,-50.1363204
"Rua Canela, Neves, Ponta Grossa, PR, Brasil",-25.0820588,-50.1260313
"Rua Riachuelo, Centro, Ponta Grossa, PR, Brasil",-25.0869967,-50.1609994
"Rua Barão do Cerro Azul, Centro, Ponta Grossa, PR, Brasil",-25.0883848,-50.1604592
"Rua Saldanha da Gama, Orfãs, Ponta Grossa, PR, Brasil",-25.0812001,-50.1606959
"Rua Augusto Canto, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0832485,-50.1566584
"Rua Alberto Nepomuceno, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0854469,-50.1573438
"Rua Padre João Antônio, Orfãs, Ponta Grossa, PR, Brasil",-25.0761376,-50.1582065
"Rua José Pedro Moreira, Ronda, Ponta Grossa, PR, Brasil",-25.1047899,-50.1766842
"Rua Couto Magalhães, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0815704,-50.1779868
"Rua Nilo Peçanha, Estrela, Ponta Grossa, PR, Brasil",-25.1060166,-50.1630515
"Rua Medeiros de Albuquerque, Oficinas, Ponta Grossa, PR, Brasil",-25.1111904,-50.1557011
"Rua Esther Kemmelmeier, Estrela, Ponta Grossa, PR, Brasil",-25.112777,-50.1663466
"Rua Olga Aleda Cavagnari, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0684336,-50.1510474
"Rua Jacob Holzmann, Olarias, Ponta Grossa, PR, Brasil",-25.1036068,-50.158237
"Rua Silva Jardim, Centro, Ponta Grossa, PR, Brasil",-25.1024857,-50.1573707
"Rua Cruz e Souza, Orfãs, Ponta Grossa, PR, Brasil",-25.080619,-50.1637349
"Rua José Carlos Rodrigues, Uvaranas, Ponta Grossa, PR, Brasil",-25.0883604,-50.1256665
"Rua Prudente de Morais, Estrela, Ponta Grossa, PR, Brasil",-25.10573,-50.1634481
"Rua Rio Grande do Sul, Orfãs, Ponta Grossa, PR, Brasil",-25.0697845,-50.1582416
"Rua Londrina, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0936322,-50.1812933
"Rua Freire Alemão, Estrela, Ponta Grossa, PR, Brasil",-25.1060604,-50.1643155
"Travessa Mário de Alencar, Uvaranas, Ponta Grossa, PR, Brasil",-25.0910559,-50.1349175
"Rua Engenheiro Schamber, Centro, Ponta Grossa, PR, Brasil",-25.1012058,-50.1581269
"Rua Theodoro Rosas, Centro, Ponta Grossa, PR, Brasil",-25.091005,-50.1599608
"Rua Anita Philipowski, Contorno, Ponta Grossa, PR, Brasil",-25.112979,-50.2012937
"Rua Graciliano Ramos, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0848564,-50.1568825
"Rua Canário-terra, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1361655,-50.165927
"Rua Aristides Lobo, Olarias, Ponta Grossa, PR, Brasil",-25.1107441,-50.138144
"Avenida Ernesto Vilela, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0861099,-50.1738028
"Rua Doutor Alves Maciel, Oficinas, Ponta Grossa, PR, Brasil",-25.1248694,-50.1483329
"Rua Fernandes Pinheiro, Centro, Ponta Grossa, PR, Brasil",,
"Rua Enfermeira Adelaide Pareta, Uvaranas, Ponta Grossa, PR, Brasil",-25.0886009,-50.1145516
"Rua Luciano Marçal, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua Casemiro Reis, Nova Rússia, Ponta Grossa, PR, Brasil",-25.092359,-50.1880996
"Rua Nelson Pereira Dias Júnior, Olarias, Ponta Grossa, PR, Brasil",-25.1163162,-50.1368008
"Rua Chile, Ronda, Ponta Grossa, PR, Brasil",-25.0996401,-50.1734839
"Rua Luiz de Camões, Uvaranas, Ponta Grossa, PR, Brasil",-25.0897138,-50.1396701
"Rua Rodolfo Serzedelo, Uvaranas, Ponta Grossa, PR, Brasil",-25.0860897,-50.1410898
"Rua Pedro Secundino Pelissari, Uvaranas, Ponta Grossa, PR, Brasil",-25.0941246,-50.0912425
"Rua Fagundes Varela, Uvaranas, Ponta Grossa, PR, Brasil",-25.0856569,-50.1461636
"Rua Coronel Dulcídio, Centro, Ponta Grossa, PR, Brasil",-25.0861575,-50.1625955
"Rua José Veríssimo, Boa Vista, Ponta Grossa, PR, Brasil",-25.0759734,-50.1878875
"Rua Quinze de Setembro, Uvaranas, Ponta Grossa, PR, Brasil",-25.0851191,-50.137439
"Rua Segismundo Romanowski, Contorno, Ponta Grossa, PR, Brasil",-25.0889823,-50.1986962
"Rua Dom João VI, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.081705,-50.1498315
"Rua Olegário Mariano, Neves, Ponta Grossa, PR, Brasil",-25.0761195,-50.1274818
"Rua Alfredo Antônio Carneiro, Oficinas, Ponta Grossa, PR, Brasil",-25.125914,-50.1468739
"Rua Goiás, Orfãs, Ponta Grossa, PR, Brasil",-25.0842061,-50.1625141
"Rua Miguel Calmon, Uvaranas, Ponta Grossa, PR, Brasil",-25.0920706,-50.1454743
"Rua Euclides da Cunha, Uvaranas, Ponta Grossa, PR, Brasil",-25.0888506,-50.1401519
"Rua Minas Gerais, Boa Vista, Ponta Grossa, PR, Brasil",-25.0788169,-50.1853908
"Rua Amante Garcia, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0675084,-50.1465894
"Rua Juvelino Alves dos Santos, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",,
"Rua Marechal Hermes, Ronda, Ponta Grossa, PR, Brasil",-25.0991806,-50.174687
"Rua Rosemari Silva Belotto, Neves, Ponta Grossa, PR, Brasil",-25.0723764,-50.1260839
"Avenida Newton Slaviero, Cará-cará, Ponta Grossa, PR, Brasil",-25.177265,-50.1464004
"Área Rural, Área Rural de Ponta Grossa, Ponta Grossa, PR, Brasil",,
"Rua Frei Veloso, Oficinas, Ponta Grossa, PR, Brasil",-25.1110336,-50.1573912
"Rua Teodoro Sampaio, Oficinas, Ponta Grossa, PR, Brasil",-25.1216235,-50.1491604
"Rua General Osório, Centro, Ponta Grossa, PR, Brasil",-25.1003268,-50.1580267
"Rua Edson Nobre de Lacerda, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0816786,-50.1555046
"Rua Décio Vergani, Uvaranas, Ponta Grossa, PR, Brasil",-25.0912409,-50.087248
"Rua Prefeito Brasílio Ribas, Centro, Ponta Grossa, PR, Brasil",-25.0877131,-50.1659656
"Rua Alberto Tramontin, Contorno, Ponta Grossa, PR, Brasil",-25.1050999,-50.2143152
"Rua Nunes Machado, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1369226,-50.1578342
"Rua Doutor Penteado de Almeida, Centro, Ponta Grossa, PR, Brasil",-25.0870934,-50.1660904
"Rua Coronel José Miró de Freitas, Boa Vista, Ponta Grossa, PR, Brasil",-25.074407,-50.1839305
"Rua Thaumaturgo de Azevedo, Oficinas, Ponta Grossa, PR, Brasil",-25.1279529,-50.1499134
"Rua Souza Dantas, Nova Rússia, Ponta Grossa, PR, Brasil",,
"Rua Major Manoel Grott, Orfãs, Ponta Grossa, PR, Brasil",-25.0743757,-50.1603867
"Rua Sílvia Machado de Souza, Estrela, Ponta Grossa, PR, Brasil",-25.1087006,-50.1719714
"Rua Castro Lopes, Ronda, Ponta Grossa, PR, Brasil",-25.1028912,-50.17852
"Rua Otacília Hasselmann de Oliveira, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua Comandante Paulo Pinheiro Schmidt, Uvaranas, Ponta Grossa, PR, Brasil",-25.0905742,-50.1077177
"Rua Roberto César Antunes Ribas, Contorno, Ponta Grossa, PR, Brasil",,
