preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
240000.0,Rua Benjamin Franklin,"Casa para comprar com 60 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-uvaranas-ponta-grossa-60m2-id-2840111277/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Uvaranas,Casa,4000.0,"Rua Benjamin Franklin, Uvaranas, Ponta Grossa, PR, Brasil",-25.1000616,-50.1450194,rua_bairro
300000.0,Rua Butieiro,"Casa para comprar com 100 m², 4 quartos, 4 banheiros emContorno, Ponta Grossa",4.0,4.0,100.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-copa-contorno-ponta-grossa-100m2-id-2825742932/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,,Contorno,Casa,3000.0,"Rua Butieiro, Contorno, Ponta Grossa, PR, Brasil",-25.0923621,-50.2070402,rua_bairro
370000.0,Rua Lagoa dos Bandeirantes,"Casa para comprar com 67 m², 2 quartos, 1 banheiro, 1 vaga emOficinas, Ponta Grossa",2.0,1.0,67.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-oficinas-ponta-grossa-67m2-id-2825742637/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Oficinas,Casa,5522.388059701492,"Rua Lagoa dos Bandeirantes, Oficinas, Ponta Grossa, PR, Brasil",-25.1196514,-50.1405315,rua_bairro
230000.0,Rua Dirceu Chagas,"Casa para comprar com 50 m², 3 quartos, 1 banheiro, 3 vagas emCará-cará, Ponta Grossa",3.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cara-cara-ponta-grossa-50m2-id-2825741849/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,3.0,Cará-cará,Casa,4600.0,"Rua Dirceu Chagas, Cará-cará, Ponta Grossa, PR, Brasil",-25.1307995,-50.1278042,rua_bairro
450000.0,Avenida Siqueira Campos,"Casa para comprar com 77 m², 3 quartos, 2 banheiros, 2 vagas emCará-cará, Ponta Grossa",3.0,2.0,77.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-cara-cara-ponta-grossa-77m2-id-2855840580/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Cará-cará,Casa,5844.1558441558445,"Avenida Siqueira Campos, Cará-cará, Ponta Grossa, PR, Brasil",-25.1549716,-50.1232601,rua_bairro
139900.0,Rua Januário de Napoli,"Apartamento para comprar com 64 m², 3 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",3.0,1.0,64.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-uvaranas-ponta-grossa-64m2-id-2559401377/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Uvaranas,Apartamento,2185.9375,"Rua Januário de Napoli, Uvaranas, Ponta Grossa, PR, Brasil",-25.100011,-50.1158827,rua_bairro
680000.0,Rua Vidal de Negreiros,"Casa para comprar com 10 m², 4 quartos, 3 banheiros, 5 vagas emOficinas, Ponta Grossa",4.0,3.0,10.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-edicula-oficinas-ponta-grossa-10m2-id-2825740734/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,5.0,Oficinas,Casa,68000.0,"Rua Vidal de Negreiros, Oficinas, Ponta Grossa, PR, Brasil",-25.1120547,-50.1616543,rua_bairro
449000.0,Rua Florestópolis,"Sobrado para comprar com 118 m², 3 quartos, 3 banheiros, 2 vagas emOficinas, Ponta Grossa",3.0,3.0,118.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-oficinas-ponta-grossa-118m2-id-2803982232/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Oficinas,Sobrado,3805.084745762712,"Rua Florestópolis, Oficinas, Ponta Grossa, PR, Brasil",-25.1267747,-50.1445595,rua_bairro
290000.0,Rua José Miara,"Casa para comprar com 72 m², 3 quartos, 2 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,2.0,72.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-orfas-ponta-grossa-72m2-id-2559401591/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Orfãs,Casa,4027.777777777778,"Rua José Miara, Orfãs, Ponta Grossa, PR, Brasil",-25.0686009,-50.1575927,rua_bairro
310000.0,Rua Doutor Penteado de Almeida,"Apartamento para comprar com 116 m², 3 quartos, 3 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,3.0,116.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-ponta-grossa-116m2-id-2832501425/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Centro,Apartamento,2672.4137931034484,"Rua Doutor Penteado de Almeida, Centro, Ponta Grossa, PR, Brasil",-25.0870934,-50.1660904,rua_bairro
