geometry,leisure,name,addr:street,tourism,landuse,addr:city,addr:suburb,start_date,description,addr:housenumber,addr:postcode,opening_hours,operator,source,alt_name,grass,natural,surface,type
POINT (-50.1548495 -25.054726),garden,Jardim de Entrada,,,,,,,,,,,,,,,,,
POINT (-50.2056677 -25.092583),park,Pracinha da Associação,Rua Eugênia,,,,,,,,,,,,,,,,
"POLYGON ((-50.1205065 -25.0720962, -50.1204602 -25.0722074, -50.1203772 -25.0722924, -50.1200751 -25.07212, -50.1201525 -25.0719535, -50.1205065 -25.0720962))",park,Estadio acustico Nucleo Pitangui e Rio Verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1207322 -25.0718757, -50.1206225 -25.0720672, -50.1206904 -25.0721399, -50.1210128 -25.0719531, -50.1207322 -25.0718757))",park,Área verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1219201 -25.071493, -50.1210856 -25.0719442, -50.1211698 -25.0717628, -50.1212146 -25.0717195, -50.121303 -25.0715464, -50.1215247 -25.0716063, -50.1216462 -25.0713821, -50.1219201 -25.071493))",park,Área verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1220293 -25.0693291, -50.1217019 -25.0699988, -50.1222117 -25.0702167, -50.1220293 -25.0693291))",park,Área verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.11603 -25.0682197, -50.1155309 -25.0691351, -50.1147298 -25.0687891, -50.1152228 -25.0678737, -50.11603 -25.0682197))",park,Área verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1222867 -25.0750089, -50.1221326 -25.0752042, -50.1213685 -25.0747354, -50.1210877 -25.0746179, -50.1211652 -25.0743726, -50.1222867 -25.0750089))",park,Praça Rio Verde,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1216502 -25.0738463, -50.1213947 -25.0737055, -50.1214892 -25.0734903, -50.1221415 -25.0736605, -50.1220469 -25.0738067, -50.1217493 -25.07367, -50.1216502 -25.0738463))",park,Espaço de festas a ceu aberto da igrela Nossa Senhora da Glória,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1551259 -25.0963556, -50.155075 -25.0963222, -50.155026 -25.096327, -50.1549281 -25.0962554, -50.1548845 -25.0965164, -50.155076 -25.0965374, -50.1551209 -25.096537, -50.1551259 -25.0963556))",park,Parque dos Mamonas,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1506921 -25.0674051, -50.1487395 -25.0663166, -50.1476237 -25.0679784, -50.1495334 -25.0690669, -50.1506921 -25.0674051))",park,Parque Monteiro Lobato,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1656414 -25.0939468, -50.1650813 -25.0938397, -50.1650498 -25.094043, -50.1654208 -25.093994, -50.1656414 -25.0939468))",park,Praça do Expedicionário,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1496624 -25.0668827, -50.1496471 -25.066909, -50.1495061 -25.0668417, -50.1495128 -25.0668114, -50.1496624 -25.0668827))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.158611 -25.0817008, -50.1589556 -25.0823662, -50.1593579 -25.0830389, -50.1595032 -25.0833318, -50.1595355 -25.083391, -50.1594367 -25.0832931, -50.1592629 -25.0830614, -50.1590456 -25.0826632, -50.1588592 -25.082404, -50.158432 -25.0817753, -50.158611 -25.0817008))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1695717 -25.0847155, -50.1695546 -25.0847066, -50.1694215 -25.084677, -50.1692441 -25.0851887, -50.1694075 -25.0852331, -50.1695733 -25.0847256, -50.1695717 -25.0847155))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1683871 -25.0843722, -50.1682584 -25.0847412, -50.1679602 -25.0846477, -50.1679091 -25.0847812, -50.1679691 -25.0848, -50.1679369 -25.0848641, -50.1679009 -25.0848527, -50.1678315 -25.0850649, -50.1676537 -25.0850007, -50.1678945 -25.084269, -50.1683871 -25.0843722))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.0199446 -25.2447202, -50.020017 -25.2460206, -50.0182414 -25.2456324, -50.0178686 -25.2455426, -50.0180027 -25.2451205, -50.0191641 -25.2442374, -50.0193143 -25.2441622, -50.0194725 -25.2441404, -50.0196308 -25.2441428, -50.01973 -25.2441671, -50.0198105 -25.2442083, -50.0198695 -25.244201, -50.0199768 -25.244138, -50.0199446 -25.2447202))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1706076 -25.082707, -50.1703661 -25.0828182, -50.1706354 -25.0833453, -50.1709165 -25.0832234, -50.1706076 -25.082707))",park,Praça Osvaldo Tramontim,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1508442 -25.1184004, -50.1504471 -25.1186414, -50.1508532 -25.1186189, -50.1508442 -25.1184004))",park,Praça Professor Mauro Paes,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1502933 -25.0735458, -50.1497877 -25.0738519, -50.1500961 -25.0733903, -50.1502933 -25.0735458))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1640899 -25.0560513, -50.162901 -25.0558186, -50.1626522 -25.0558593, -50.1627749 -25.0563246, -50.1627877 -25.056372, -50.164047 -25.0562129, -50.1640899 -25.0560513))",park,,Rua Rômulo Gardenal,,,,,,área para prática de esportes,,,,,,,,,,
"POLYGON ((-50.164031 -25.0560789, -50.1629563 -25.0558526, -50.1626885 -25.055886, -50.1627514 -25.0561276, -50.1628085 -25.0563468, -50.1640129 -25.056152, -50.164031 -25.0560789))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1582266 -25.0698609, -50.1579134 -25.0693039, -50.1572603 -25.0695845, -50.1575768 -25.0701396, -50.1582266 -25.0698609))",park,,Rua Professora Sinhara Natel de Paula,,,,,,,,,,,,,,,,
"POLYGON ((-50.1257566 -25.0946776, -50.1253947 -25.0946201, -50.1249979 -25.0945534, -50.1249688 -25.0949505, -50.1249416 -25.095321, -50.1252824 -25.0953597, -50.1256416 -25.0954054, -50.125698 -25.095051, -50.1257566 -25.0946776))",park,Praça Bom Jesus,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1393035 -25.0906841, -50.139221 -25.0906383, -50.1391691 -25.0905913, -50.1391319 -25.0905998, -50.1391226 -25.0906166, -50.1391359 -25.0906504, -50.1391605 -25.0906658, -50.1392149 -25.090691, -50.1392569 -25.0907074, -50.1392799 -25.0906973, -50.1393035 -25.0906841))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1391049 -25.0905371, -50.1390454 -25.0906001, -50.1388314 -25.0904803, -50.1385441 -25.0902229, -50.1383027 -25.0899324, -50.1381591 -25.0896805, -50.1380109 -25.0893761, -50.137881 -25.0890855, -50.1378016 -25.0888115, -50.1378 -25.0885748, -50.1378214 -25.0883991, -50.1378963 -25.0882164, -50.1380308 -25.0880186, -50.1382004 -25.0877944, -50.1382752 -25.0876547, -50.1383761 -25.0874471, -50.1383822 -25.0872478, -50.1383822 -25.0870887, -50.1383333 -25.0869323, -50.1382599 -25.0868161, -50.1382004 -25.086758, -50.138179 -25.0867192, -50.1382049 -25.0866708, -50.1382477 -25.0866708, -50.1382966 -25.0866902, -50.1383547 -25.0867483, -50.1384341 -25.0869323, -50.1384723 -25.0870389, -50.1384723 -25.0872368, -50.1384448 -25.0873959, -50.1384143 -25.0875273, -50.1383287 -25.087692, -50.1382554 -25.0878221, -50.1381484 -25.0879632, -50.1380415 -25.088103, -50.1379666 -25.0882234, -50.137907 -25.088312, -50.1378749 -25.088442, -50.1378657 -25.088568, -50.1378642 -25.0886787, -50.1378917 -25.0888724, -50.137907 -25.0889845, -50.1380827 -25.0893318, -50.1381883 -25.0895522, -50.1383508 -25.0898307, -50.138575 -25.0900727, -50.1388451 -25.0903281, -50.1391049 -25.0905371))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1462333 -25.0889774, -50.1461083 -25.0889153, -50.1475478 -25.0884041, -50.1480276 -25.0883274, -50.1484349 -25.0883274, -50.148451 -25.0884187, -50.1479954 -25.0884954, -50.1475599 -25.0885574, -50.1471244 -25.0886597, -50.1462333 -25.0889774))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1486203 -25.0883274, -50.14858 -25.0883785, -50.14858 -25.0884296, -50.1489752 -25.0884954, -50.1492695 -25.0885976, -50.1497816 -25.0889044, -50.1498784 -25.0888788, -50.1496526 -25.0886853, -50.149326 -25.08851, -50.1490599 -25.0884041, -50.1486203 -25.0883274))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1486726 -25.0882358, -50.148581 -25.08824, -50.148555 -25.0882303, -50.148555 -25.0881735, -50.1486726 -25.0882358))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1501817 -25.0890807, -50.1501134 -25.0891101, -50.1500566 -25.0890115, -50.1501817 -25.0890807))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1586068 -25.0779831, -50.158478 -25.0776891, -50.1578906 -25.0779466, -50.1586068 -25.0779831))",park,Praça das Pedras,,,,,,,,,,,,,,,,,
"POLYGON ((-50.152636 -25.0767654, -50.1515417 -25.0774359, -50.1520137 -25.0781161, -50.1531854 -25.0774037, -50.1531087 -25.0773945, -50.152636 -25.0767654))",park,Praça Santo Antônio,,,,,,,,,,,,,,,,,
