geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.5666548 -23.573853),Estação Santa Clara,,construction,,subway,yes,,,Q19707018,,pt:Estação Santa Clara (Metrô de São Paulo),,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5665973 -23.5738621),Estação Santa Clara,,construction,,subway,yes,,,Q19707018,,pt:Estação Santa Clara (Metrô de São Paulo),,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6994659 -23.4771493),,,construction,,subway,,,,Q28679216,,pt:Estação Maristela,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6995062 -23.4771361),,,construction,,subway,,,,Q28679216,,pt:Estação Maristela,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6978963 -23.4705751),Estação Brasilândia,,construction,,subway,yes,,,Q28679200,,pt:Estação Brasilândia,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6936911 -23.4855675),Estação Itaberaba,,construction,,subway,yes,,,Q28679217,,pt:Estação Itaberaba,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6914028 -23.4936041),Estação João Paulo I,,construction,,subway,yes,,,Q26257444,Category:João Paulo I (São Paulo Metro),pt:Estação João Paulo I,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6936309 -23.5017478),Estação Freguesia do Ó,,construction,,subway,yes,,,Q25448241,,pt:Estação Freguesia do Ó,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6916843 -23.5140958),Estação Santa Marina,,construction,,subway,yes,,,Q41344200,Category:Santa Marina (São Paulo Metro),pt:Estação Santa Marina,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6881689 -23.5205513),Estação de Metrô Água Branca,,construction,,subway,yes,,,Q85817186,Category:Água Branca (São Paulo Metro),en:Água Branca (São Paulo Metro),,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6832426 -23.5272624),Estação SESC-Pompéia,,construction,,subway,yes,,,Q28679219,Category:SESC-Pompeia (São Paulo Metro),pt:Estação Sesc-Pompeia,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6766247 -23.5321077),Estação Perdizes,,construction,,subway,yes,,,Q30926628,Category:Perdizes (São Paulo Metro),pt:Estação Perdizes,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
