geometry,direction,highway,leisure,natural,access,name,addr:housenumber,addr:street,description,fee,tourism,garden:type,addr:city,gtfs_id,network:short,public_transport:version,route_ref,wheelchair,garden:style,addr:postcode,addr:suburb,opening_hours,operator,operator:type,dog,nohousenumber,park:type,short_name,note,old_name,place,wikidata,wikimedia_commons,wikipedia,barrier,related_law,start_date,surface,internet_access,internet_access:fee,internet_access:operator,operator:wikidata,ownership,phone,website,grass,landuse,name:pt,layer,alt_name,contact:phone,contact:website,official_name,GNS:id,name:en,name:es,source,man_made,contact:email,contact:facebook,contact:twitter,contact:youtube,loc_name,opening_hours:covid19,name:it,name:ja,name:tr,wikipedia:pt,amenity,community_centre,footway,hotspot,toilets:wheelchair,tree,sport,park_type,addr:country,animal,name:etymology:wikidata,foot,is_in:city,is_in:country,is_in:country_code,is_in:iso_3166_2,name:ar,name:fr,name:id,name:ja-Hira,name:ko,name:ru,name:vi,name:zh,wikipedia:en,ele,square,club,location,substation,addr:state,denomination,diocese,email,heritage,heritage:operator,historic,iphan:classification,iphan:inscription_date,iphan:status,iphan:tombo,monastery:type,ref:iphan,religion,parking,owner,owner:wikidata,check_date:opening_hours,disused:garden:type,disused:leisure,postal_code,smoking,check_date,boundary,governance_type,protect_class,protection_title,source:name,addr:full,fax,height,lit,fixme,building,shop,toilets,area:highway,lg_nome,lg_tipo,lg_prep,lg_titulo,level,grassland,official_name:en,park_ride,junction,park,fence_type,related_law:url,abandoned,leaf_type,noname,addr:district,area,width,leaf_cycle,plant,plants,urban,denotation,architect,fitness_station,ruins,heating,proposed:landuse,type,bicycle,horse,name:etymology,old_website,site,traffic_calming,note:2,playground
"POLYGON ((-46.7121593 -23.7011281, -46.7121627 -23.7011186, -46.7121658 -23.7011101, -46.7121704 -23.701099, -46.7121728 -23.701091, -46.7121778 -23.7010827, -46.7121858 -23.7010701, -46.7121921 -23.7010623, -46.7121975 -23.7010585, -46.7122079 -23.7010563, -46.7122182 -23.7010574, -46.7122316 -23.7010635, -46.7122464 -23.7010755, -46.7122639 -23.7010919, -46.7122838 -23.7011156, -46.7123007 -23.7011419, -46.7123119 -23.7011649, -46.7123191 -23.701184, -46.7123236 -23.7012012, -46.7123231 -23.7012105, -46.7123219 -23.7012143, -46.7123182 -23.7012175, -46.7123153 -23.7012194, -46.7123061 -23.7012233, -46.7122892 -23.7012271, -46.712264 -23.7012308, -46.7122399 -23.7012327, -46.7122262 -23.7012315, -46.7122136 -23.7012293, -46.7122038 -23.7012263, -46.7121963 -23.7012228, -46.7121934 -23.7012209, -46.7121904 -23.7012176, -46.7121875 -23.7012125, -46.7121822 -23.7012033, -46.7121768 -23.7011953, -46.7121715 -23.7011873, -46.7121663 -23.7011771, -46.7121612 -23.7011672, -46.7121566 -23.701158, -46.7121538 -23.7011515, -46.7121536 -23.7011503, -46.7121542 -23.7011469, -46.7121563 -23.7011392, -46.7121579 -23.7011333, -46.7121593 -23.7011281))",,,park,,,Praça Apeaçaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7093362 -23.7119816, -46.7093349 -23.711993, -46.7093321 -23.712007, -46.7093232 -23.7120243, -46.7093036 -23.7120456, -46.7092857 -23.7120581, -46.7092762 -23.7120634, -46.7092556 -23.7120693, -46.7092254 -23.7120708, -46.7091958 -23.7120683, -46.7091719 -23.7120612, -46.709153 -23.7120484, -46.7091432 -23.7120357, -46.7091288 -23.7120086, -46.7091232 -23.7119873, -46.7091227 -23.7119606, -46.7091314 -23.711938, -46.7091414 -23.7119225, -46.7091592 -23.711904, -46.7091785 -23.7118911, -46.709199 -23.7118828, -46.7092128 -23.7118798, -46.7092352 -23.7118784, -46.7092657 -23.7118828, -46.7092927 -23.7118951, -46.709311 -23.7119087, -46.7093211 -23.7119228, -46.7093298 -23.7119401, -46.7093347 -23.7119623, -46.7093362 -23.7119816))",,,park,,,Praça Domingos Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6054259 -23.5979398, -46.6053981 -23.5979334, -46.605383 -23.5979296, -46.605368 -23.5979267, -46.6053407 -23.5981234, -46.6053863 -23.598125, -46.6054072 -23.5980225, -46.6054237 -23.5979516, -46.6054259 -23.5979398))",,,park,,,Praça Doutor Douglas Haddad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5995275 -23.6011966, -46.6000719 -23.6018735, -46.6003457 -23.6022036, -46.6005916 -23.6025003, -46.6005893 -23.6025338, -46.6005796 -23.6025355, -46.6005651 -23.6025394, -46.6004772 -23.602497, -46.6002026 -23.6023199, -46.600124 -23.6022654, -46.600043 -23.6022117, -46.5997559 -23.6019066, -46.5994187 -23.6015153, -46.5993938 -23.6014832, -46.5993869 -23.6014672, -46.5993816 -23.6014372, -46.5993809 -23.6013793, -46.599416 -23.6012718, -46.5994402 -23.6012374, -46.5994825 -23.6012094, -46.5995275 -23.6011966))",,,park,,,Praça Padre Pedro Balint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.595581 -23.6044492, -46.5956497 -23.6043832, -46.595842 -23.6044453, -46.5958518 -23.6044885, -46.5958517 -23.6044904, -46.5958075 -23.604558, -46.5957537 -23.6045944, -46.59571 -23.6046291, -46.5955772 -23.6047346, -46.5952842 -23.6049684, -46.5950167 -23.6051816, -46.59498 -23.6051526, -46.5949083 -23.6050961, -46.5949857 -23.6050217, -46.5950035 -23.6050045, -46.5950315 -23.6049776, -46.5951038 -23.6049081, -46.5952684 -23.6047498, -46.5952834 -23.6047354, -46.5953395 -23.6046815, -46.5954154 -23.6046085, -46.5955202 -23.6045077, -46.5955683 -23.6044615, -46.595581 -23.6044492))",,,park,,,Praça Barão de Belém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7316614 -23.6034429, -46.7316475 -23.6034666, -46.7316102 -23.60362, -46.7316826 -23.6043888, -46.7318263 -23.6044483, -46.7319459 -23.6045509, -46.7323243 -23.6044717, -46.7322656 -23.6042351, -46.7319766 -23.6042044, -46.7319773 -23.6040926, -46.7319705 -23.6039539, -46.7322387 -23.6036577, -46.7322345 -23.6034928, -46.7316856 -23.6034449, -46.7316614 -23.6034429))",,,park,,,Praça Engenheiro Noriyuki Yamamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.726126 -23.6051908, -46.7261616 -23.6051973, -46.7262776 -23.6051789, -46.7265901 -23.6050875, -46.7265707 -23.6049514, -46.7261391 -23.6049121, -46.7261076 -23.6051706, -46.726126 -23.6051908))",,,park,,,Praça Haim Mansour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7320855 -23.5899427, -46.7321136 -23.5904031, -46.7318751 -23.59011, -46.7320855 -23.5899427))",,,park,,,Praça Nicola Dastoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7065554 -23.6196084, -46.7065336 -23.6196129, -46.7064554 -23.6197125, -46.7065598 -23.619855, -46.7066189 -23.6199323, -46.7065865 -23.6198767, -46.7065654 -23.619825, -46.7065615 -23.6197889, -46.7065638 -23.6197031, -46.7065689 -23.6196353, -46.7065686 -23.6196156, -46.7065554 -23.6196084))",,,park,,,Praça Elmira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7085029 -23.6194799, -46.708486 -23.6194733, -46.7084732 -23.6194613, -46.7084664 -23.6194457, -46.7084666 -23.6194289, -46.7084738 -23.6194134, -46.7084869 -23.6194017, -46.7085039 -23.6193954, -46.7085222 -23.6193956, -46.7085391 -23.6194022, -46.7085519 -23.6194142, -46.7085587 -23.6194298, -46.7085585 -23.6194466, -46.7085513 -23.6194621, -46.7085382 -23.6194738, -46.7085212 -23.6194801, -46.7085029 -23.6194799))",,,park,,,Praça Malásia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7475578 -23.5889528, -46.7478562 -23.5890156, -46.7478644 -23.5889817, -46.7480501 -23.5890173, -46.7485781 -23.5891153, -46.7486046 -23.5891201, -46.7485525 -23.5893658, -46.7477674 -23.589568, -46.7473531 -23.5896677, -46.7475578 -23.5889528))",,,park,,,Praça Vera Ferraz Donnini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7471217 -23.5912577, -46.7472024 -23.5915025, -46.7472039 -23.5915095, -46.7472016 -23.5915105, -46.7466941 -23.5916456, -46.7468216 -23.5912794, -46.7468436 -23.5912476, -46.7469989 -23.5912601, -46.7471019 -23.5911978, -46.7471217 -23.5912577))",,,park,,,Praça Parque Jardim Olímpia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7397926 -23.6047244, -46.7399645 -23.604811, -46.7400635 -23.6048615, -46.7400107 -23.6049053, -46.7398639 -23.6050238, -46.7398367 -23.6050454, -46.7397591 -23.605106, -46.7394987 -23.6053188, -46.7394962 -23.6053146, -46.7394964 -23.6053117, -46.7395001 -23.6052969, -46.7395011 -23.6052948, -46.739514 -23.605271, -46.7396954 -23.6049131, -46.7397926 -23.6047244))",,,park,,,Praça da Felicidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7404032 -23.6028412, -46.7407718 -23.6029293, -46.7405039 -23.6031669, -46.7404024 -23.6029546, -46.7403805 -23.6029128, -46.7403753 -23.6028957, -46.7403729 -23.6028822, -46.7403737 -23.602866, -46.7403785 -23.6028533, -46.7403832 -23.6028456, -46.7403862 -23.6028437, -46.7403929 -23.6028414, -46.7404032 -23.6028412))",,,park,,,Praça dos Amores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7430256 -23.605256, -46.7430305 -23.6052561, -46.7430352 -23.6052564, -46.7430397 -23.6052571, -46.7430487 -23.6052593, -46.743065 -23.6052656, -46.7430774 -23.6052715, -46.7430835 -23.605276, -46.743098 -23.6052904, -46.7431221 -23.6053204, -46.7431425 -23.6053455, -46.7431656 -23.605367, -46.7431822 -23.6053799, -46.7431879 -23.6053856, -46.7431897 -23.6053886, -46.7431913 -23.6053917, -46.7431925 -23.605395, -46.7431933 -23.6053983, -46.7431939 -23.6054017, -46.7431941 -23.6054051, -46.743194 -23.6054085, -46.7431935 -23.6054119, -46.7431927 -23.6054153, -46.7431915 -23.6054185, -46.74319 -23.6054217, -46.7431883 -23.6054247, -46.7431862 -23.6054275, -46.7431838 -23.6054302, -46.7431812 -23.6054327, -46.7431777 -23.6054354, -46.7430843 -23.6054464, -46.7430451 -23.6054514, -46.7429336 -23.6054753, -46.7429234 -23.6054758, -46.7429188 -23.6054755, -46.7429149 -23.6054728, -46.7429137 -23.6054698, -46.7429138 -23.6054671, -46.7429146 -23.6054638, -46.7429164 -23.6054416, -46.7429186 -23.6054224, -46.7429214 -23.6054033, -46.7429247 -23.6053843, -46.7429287 -23.6053654, -46.7429332 -23.6053465, -46.7429396 -23.6053228, -46.7429412 -23.6053177, -46.7429429 -23.6053129, -46.7429449 -23.6053081, -46.7429471 -23.6053035, -46.7429495 -23.605299, -46.7429522 -23.6052947, -46.7429571 -23.6052875, -46.7429598 -23.6052841, -46.7429629 -23.6052808, -46.7429661 -23.6052777, -46.7429697 -23.6052748, -46.7429734 -23.6052721, -46.7429773 -23.6052697, -46.7429813 -23.6052675, -46.7429857 -23.6052655, -46.7429965 -23.6052613, -46.7430012 -23.6052597, -46.743006 -23.6052584, -46.7430108 -23.6052574, -46.7430157 -23.6052567, -46.7430206 -23.6052562, -46.7430256 -23.605256))",,,park,,,Praça Tarsila do Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7470617 -23.6038375, -46.7470714 -23.6038293, -46.7470811 -23.6038219, -46.7470911 -23.6038148, -46.7471015 -23.6038082, -46.7471122 -23.603802, -46.7471232 -23.6037963, -46.7471271 -23.6037945, -46.7471345 -23.603791, -46.747146 -23.6037862, -46.7471578 -23.6037819, -46.7471697 -23.6037781, -46.7471819 -23.6037748, -46.7471942 -23.603772, -46.7472066 -23.6037696, -46.7472191 -23.6037678, -46.7472288 -23.6037669, -46.7472318 -23.6037666, -46.7472444 -23.6037658, -46.7472571 -23.6037656, -46.7472698 -23.6037659, -46.7472825 -23.6037667, -46.7472954 -23.603768, -46.7473002 -23.6037687, -46.7473368 -23.6037741, -46.7473024 -23.603822, -46.7472556 -23.6038729, -46.7472466 -23.6038786, -46.7472347 -23.603884, -46.747222 -23.6038879, -46.7472089 -23.6038903, -46.7471948 -23.603891, -46.7471873 -23.6038906, -46.7471731 -23.6038884, -46.7470617 -23.6038375))",,,park,,,Praça Doutor Luis Miguel Quadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7473617 -23.6042049, -46.7472945 -23.6043359, -46.7474418 -23.6043766, -46.7474933 -23.6042588, -46.7473617 -23.6042049))",,,park,,,Praça Doutor Luis Miguel Quadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7476465 -23.6040357, -46.7476474 -23.6040427, -46.7476484 -23.6040544, -46.7476489 -23.6040662, -46.7476488 -23.6040781, -46.7476482 -23.6040899, -46.747647 -23.604102, -46.7475946 -23.6040812, -46.7475649 -23.6040671, -46.7475564 -23.6040626, -46.7475545 -23.6040613, -46.7475468 -23.6040557, -46.7475418 -23.6040513, -46.7475325 -23.6040403, -46.7475313 -23.6040386, -46.7475275 -23.6040323, -46.7475239 -23.6040242, -46.7475225 -23.6040206, -46.7475217 -23.604018, -46.7475195 -23.6040089, -46.747519 -23.6040057, -46.7475186 -23.6040024, -46.7475184 -23.6039932, -46.7475185 -23.6039906, -46.7475196 -23.6039814, -46.7475201 -23.6039789, -46.7475224 -23.6039707, -46.747525 -23.6039639, -46.7475315 -23.6039518, -46.7475547 -23.603918, -46.7475794 -23.6038916, -46.7475875 -23.6039011, -46.747595 -23.6039107, -46.747602 -23.6039206, -46.7476086 -23.6039308, -46.7476148 -23.6039412, -46.7476204 -23.6039518, -46.747624 -23.6039593, -46.7476256 -23.6039627, -46.7476302 -23.6039737, -46.7476344 -23.6039849, -46.7476381 -23.6039962, -46.7476412 -23.6040077, -46.7476438 -23.6040193, -46.7476459 -23.6040309, -46.7476465 -23.6040357))",,,park,,,Praça Doutor Luis Miguel Quadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7497383 -23.597851, -46.7498271 -23.597204, -46.7499099 -23.5972143, -46.7499351 -23.5972175, -46.7499279 -23.5972776, -46.7499199 -23.5973516, -46.749905 -23.5974886, -46.7498943 -23.5975676, -46.7498894 -23.5976036, -46.7498823 -23.5976561, -46.7498784 -23.5976925, -46.7498685 -23.5977837, -46.7498596 -23.5978625, -46.7497383 -23.597851))",,,park,,,Praça Dona Francisca Batistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7441327 -23.6034976, -46.744201 -23.6034572, -46.7442461 -23.6034371, -46.7442512 -23.6034355, -46.7442554 -23.6034344, -46.7442597 -23.6034335, -46.7442633 -23.6034329, -46.7442728 -23.603432, -46.7442816 -23.6034318, -46.7442904 -23.6034324, -46.744299 -23.6034338, -46.7443052 -23.6034353, -46.7443274 -23.6034447, -46.7443345 -23.6034483, -46.7443474 -23.6034562, -46.7443586 -23.603465, -46.7443687 -23.6034749, -46.7443771 -23.6034854, -46.7443888 -23.603505, -46.7444197 -23.603561, -46.7444073 -23.6035634, -46.7443948 -23.6035654, -46.7443822 -23.603567, -46.7443695 -23.6035681, -46.7443567 -23.6035687, -46.7443438 -23.6035689, -46.7443309 -23.6035686, -46.744318 -23.6035678, -46.7443051 -23.6035666, -46.7442922 -23.6035649, -46.7442796 -23.6035628, -46.7442631 -23.6035592, -46.7442603 -23.6035586, -46.744248 -23.6035554, -46.7442356 -23.6035517, -46.7442235 -23.6035475, -46.7442115 -23.6035429, -46.7441999 -23.603538, -46.7441884 -23.6035326, -46.7441773 -23.6035268, -46.7441665 -23.6035206, -46.744156 -23.6035141, -46.7441458 -23.6035072, -46.7441327 -23.6034976))",,,park,,,Praça Boaventura de Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7463781 -23.608428, -46.7464163 -23.6083919, -46.7466628 -23.608004, -46.7465227 -23.6079521, -46.7463426 -23.6080861, -46.7460813 -23.6082352, -46.7457775 -23.6083884, -46.7453814 -23.6085818, -46.7454013 -23.6086243, -46.7456669 -23.6085073, -46.7459369 -23.6084401, -46.7460645 -23.6084244, -46.7463781 -23.608428))",,,park,,,Praça Doutor Eurydes Luz Angelini,,,,,,,,,,,,,,,,,,,,,,,,,square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6702002 -23.626585, -46.6701028 -23.6264985, -46.6700456 -23.6265365, -46.6700974 -23.6266525, -46.6702002 -23.626585))",,,park,,,Praça Pastor Stremme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6562151 -23.6398767, -46.6561227 -23.6398214, -46.6560114 -23.6397213, -46.6559542 -23.6396442, -46.6558727 -23.6394563, -46.6558587 -23.6393854, -46.6558651 -23.6393711, -46.6558825 -23.6393649, -46.6559098 -23.6393641, -46.6559846 -23.6393981, -46.6561049 -23.6394529, -46.6563349 -23.6395236, -46.6562711 -23.6397107, -46.6562151 -23.6398767))",,,park,,,Praça Professor Alipio Corrêa Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6579617 -23.6406006, -46.6576008 -23.6403739, -46.6575648 -23.6403438, -46.6575611 -23.6403372, -46.6575704 -23.6403182, -46.657604 -23.6403062, -46.6580705 -23.640149, -46.6588929 -23.6398746, -46.6589789 -23.6398786, -46.6590787 -23.6399037, -46.6592136 -23.6399653, -46.6591695 -23.6399999, -46.6588649 -23.6402673, -46.6582563 -23.6404996, -46.6579617 -23.6406006))",,,park,,,Praça Joubert de Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6576316 -23.6401258, -46.6576312 -23.640096, -46.6575084 -23.6399623, -46.6573496 -23.6398086, -46.6572877 -23.6397716, -46.6572346 -23.6397549, -46.6571936 -23.6397475, -46.6570521 -23.6401603, -46.6571908 -23.6402012, -46.6573002 -23.6402204, -46.6573616 -23.6402213, -46.6574569 -23.640203, -46.657608 -23.640148, -46.6576316 -23.6401258))",,,park,,,Praça Jorge Alves Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6580565 -23.6385447, -46.6580647 -23.6385715, -46.6580636 -23.6385856, -46.658059 -23.6386054, -46.6580461 -23.6386268, -46.6580216 -23.6386461, -46.6580071 -23.6386506, -46.6579825 -23.6386541, -46.6579466 -23.6386492, -46.6579236 -23.6386386, -46.6579103 -23.6386224, -46.657904 -23.638606, -46.6579021 -23.6385799, -46.6579017 -23.6385502, -46.6579049 -23.6385342, -46.6579248 -23.6385124, -46.6579401 -23.6385043, -46.6579613 -23.6384978, -46.6579948 -23.6384962, -46.6580231 -23.6385049, -46.6580431 -23.6385201, -46.6580565 -23.6385447))",,,park,,,Praça Olga Simon Poyares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.687781 -23.6348531, -46.6876993 -23.6349156, -46.6875445 -23.6350311, -46.6872964 -23.6352311, -46.6872932 -23.6352353, -46.6872898 -23.635242, -46.6872849 -23.635256, -46.6872828 -23.635264, -46.6872824 -23.6352672, -46.6872851 -23.6352702, -46.6872928 -23.6352752, -46.6872982 -23.6352772, -46.6873008 -23.6352775, -46.687305 -23.6352765, -46.6873133 -23.635273, -46.6875328 -23.6351517, -46.6876999 -23.635059, -46.687836 -23.6349749, -46.6878416 -23.6349697, -46.6878442 -23.6349662, -46.6878449 -23.6349647, -46.687845 -23.6349626, -46.6878446 -23.6349603, -46.6878119 -23.6348837, -46.687803 -23.6348665, -46.6878014 -23.6348644, -46.687799 -23.6348626, -46.687795 -23.6348599, -46.687781 -23.6348531))",,,park,,,Praça Doutor Hermann José de Revoredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praça Doutor José Hermann de Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
