preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
3950.0,1240.0,110.0,Rua Leopoldo Couto Magalhães Júnior,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-45m2-id-2829168016/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,87.77777777777777,"Rua Leopoldo Couto Magalhães Júnior, Itaim Bibi, São Paulo, SP, Brasil",-23.5892049,-46.6839228,rua_bairro
3700.0,1500.0,300.0,Rua Pedroso Alvarenga,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-40m2-id-2854626629/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,92.5,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo, SP, Brasil",-23.5820241,-46.6791807,rua_bairro
5020.0,1300.0,180.0,Rua Professor Atílio Innocenti,"Flat para alugar com 57 m², 2 quartos, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",2.0,1,57.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-nova-conceicao-sao-paulo-57m2-id-2853398567/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Nova Conceição,Flat,88.0701754385965,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
10500.0,1500.0,420.0,Rua Jaboticabal,"Cobertura para alugar com 160 m², 2 quartos, 4 banheiros, 2 vagas emVila Bertioga, São Paulo",2.0,4,160.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-2-quartos-com-piscina-vila-bertioga-sao-paulo-160m2-id-2851205857/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,2.0,Vila Bertioga,Cobertura,65.625,"Vila Bertioga, São Paulo, SP, Brasil",,,falhou
18000.0,2100.0,1084.0,Alameda dos Arapanés,"Apartamento para alugar com 143 m², 3 quartos, 5 banheiros, 2 vagas emMoema, São Paulo",3.0,5,143.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-moema-zona-sul-sao-paulo-sp-143m2-id-2826591289/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,2.0,Moema,Apartamento,125.87412587412588,"Alameda dos Arapanés, Moema, São Paulo, SP, Brasil",-23.6075409,-46.6678523,rua_bairro
3000.0,980.0,120.0,Rua Olímpia de Almeida Prado,"Apartamento para alugar com 47 m², 1 quarto, 1 banheiro, 1 vaga emBarra Funda, São Paulo",1.0,1,47.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-barra-funda-zona-oeste-sao-paulo-sp-47m2-id-2875008383/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Barra Funda,Apartamento,63.829787234042556,"Barra Funda, São Paulo, SP, Brasil",,,falhou
50000.0,,1.0,Rua Doutor Carlos Norberto de Sousa Aranha,"Casa para alugar com 465 m², 3 quartos, 6 banheiros, 10 vagas emAlto de Pinheiros, São Paulo",3.0,6,465.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-alto-de-pinheiros-sao-paulo-465m2-id-2807792666/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,10.0,Alto de Pinheiros,Casa,107.52688172043011,"Alto de Pinheiros, São Paulo, SP, Brasil",,,falhou
3410.0,483.0,107.0,Rua Cardeal Arcoverde,"Apartamento para alugar com 25 m², 1 quarto, 1 banheiro emPinheiros, São Paulo",1.0,1,25.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-pinheiros-sao-paulo-25m2-id-2826822519/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,,Pinheiros,Apartamento,136.4,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP, Brasil",-23.5596543,-46.6850549,rua_bairro
4500.0,1000.0,500.0,Rua Diogo Jácome,"Duplex para alugar com 52 m², 1 quarto, 2 banheiros, 1 vaga emVila Nova Conceição, São Paulo",1.0,2,52.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-52m2-id-2874710154/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Vila Nova Conceição,Duplex,86.53846153846153,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
3000.0,568.0,,Rua Paulo Maldi,"Apartamento para alugar com 42 m², 2 quartos, 1 banheiro emTucuruvi, São Paulo",2.0,1,42.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-salao-de-festas-tucuruvi-sao-paulo-42m2-id-2847477822/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,,Tucuruvi,Apartamento,71.42857142857143,"Rua Paulo Maldi, Tucuruvi, São Paulo, SP, Brasil",-23.4836408,-46.6112777,rua_bairro
4300.0,670.0,130.0,Avenida Portugal,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emBrooklin Paulista, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-brooklin-paulista-sao-paulo-50m2-id-2838900680/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Brooklin Paulista,Flat,86.0,"Brooklin Paulista, São Paulo, SP, Brasil",,,falhou
5500.0,,,Rua Quatá,"Flat para alugar com 25 m², 1 quarto, 1 banheiro emVila Olímpia, São Paulo",1.0,1,25.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-25m2-id-2850533261/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,,Vila Olímpia,Flat,220.0,"Rua Quatá, Vila Olímpia, São Paulo, SP, Brasil",-23.5978781,-46.6786808,rua_bairro
3200.0,965.0,227.0,Avenida Doutor Cardoso de Melo,"Flat para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-36m2-id-2834811520/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Vila Olímpia,Flat,88.88888888888889,"Avenida Doutor Cardoso de Melo, Vila Olímpia, São Paulo, SP, Brasil",-23.5965974,-46.6887775,rua_bairro
3890.0,,,Avenida Santo Amaro,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emSanto Amaro, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/venda-flat-1-quarto-com-piscina-santo-amaro-sao-paulo-33m2-id-2795479729/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Santo Amaro,Flat,117.87878787878788,"Avenida Santo Amaro, Santo Amaro, São Paulo, SP, Brasil",-23.6293085,-46.689394,rua_bairro
4600.0,,,Rua Gomes de Carvalho,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-30m2-id-2853535220/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Vila Olímpia,Flat,153.33333333333334,"Rua Gomes de Carvalho, Vila Olímpia, São Paulo, SP, Brasil",-23.5981538,-46.6829066,rua_bairro
2600.0,241.0,,Rua Valson Lopes,"Apartamento para alugar com 30 m², 1 quarto, 1 banheiro emVila Butantã, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-vila-butanta-sao-paulo-30m2-id-2742856722/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,,Vila Butantã,Apartamento,86.66666666666667,"Vila Butantã, São Paulo, SP, Brasil",,,falhou
6000.0,1.0,1.0,Rua Arizona,"Apartamento para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emCidade Monções, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-cidade-moncoes-sao-paulo-42m2-id-2816395231/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Cidade Monções,Apartamento,142.85714285714286,"Cidade Monções, São Paulo, SP, Brasil",,,falhou
6200.0,1.0,1.0,Rua Professor José Leite e Oiticica,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emVila Gertrudes, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-gertrudes-sao-paulo-50m2-id-2826814472/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:20:36,1.0,Vila Gertrudes,Flat,124.0,"Vila Gertrudes, São Paulo, SP, Brasil",,,falhou
