geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.1585414 -25.0991872),school,Escola Municipal Lagoa Dourada,,,Praça Roosevelt,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84010-069,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1585414 -25.0991872)
POINT (-50.1588483 -25.0548255),school,Escola Estadual Nossa Senhora das Graças,,,Rua Renê Gomes Napoli,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84073-110,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1588483 -25.0548255)
POINT (-50.1373909 -25.0642919),school,Escola Municipal Fioravante Slavieiro,25,84016-480,Rua Joaquim Mateus Branco e Silva,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1373909 -25.0642919)
POINT (-50.2020463 -25.0690008),school,Escola Municipal Doutor José Pinto Rosas,168,84062-400,Rua Foz do Iguaçu,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2020463 -25.0690008)
POINT (-50.1854008 -25.0648086),school,Escola Estadual Iolando Taques Fonseca,600,84071-220,Rua Professor Fábio Fanucchi,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1854008 -25.0648086)
POINT (-50.1158099 -25.086132),school,Escola Municipal Doutor Leopoldo Pinto Rosas,926,84030-040,Rua Rodrigo Silva,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1158099 -25.086132)
POINT (-50.1714761 -25.0487529),school,Escola Municipal Professor Kamal Tebcherani,534,84072-090,Rua Alfredo Pietrobelli,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1714761 -25.0487529)
POINT (-50.1951856 -25.0853716),school,Escola Municipal Prefeito Engenheiro Cyro Martins,480,84062-040,Rua Presciliano Negrão,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1951856 -25.0853716)
POINT (-50.2148164 -25.0681858),school,Escola Municipal Professor Jorge Dechandt,481,84063-080,Rua Moacyr Lazarotto de Oliveira,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2148164 -25.0681858)
POINT (-50.1841267 -25.1025177),school,Escola Municipal Prefeito Doutor Elyseu de Campos,762,84051-090,Rua Baltazar Lisboa,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1841267 -25.1025177)
POINT (-50.1422484 -25.1777802),school,Colégio Estadual Francisco Pires Machado,318,84031-120,Rua Carajás,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1422484 -25.1777802)
POINT (-50.1466793 -25.0986533),school,Escola Municipal Coronel Cláudio Gonçalves Guimarã,240,,Rua Bonifácio Ribas,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1466793 -25.0986533)
POINT (-50.1451171 -25.0841923),school,Escola Municipal Professora Minervina França Scudl,852,84020-240,Rua Casemiro de Abreu,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1451171 -25.0841923)
POINT (-50.1688635 -25.0446488),school,Escola Municipal Vereador Adelino Machado de Oliveira,310,84072-160,Rua Luiz Pereira Barreto,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1688635 -25.0446488)
POINT (-50.1633387 -25.1480379),college,Colégio Estadual Santa Maria,,,Rua Curruíra,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84062-240,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1633387 -25.1480379)
